ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Laredo,Canada,5.0,,,1-389-256-3830,Ouhvridnbezemrjqcbrvjovohycx,PA,Tesoro,Goylmecehfjxdbjttncjvrklseicdtjfcrfupaqbpuoppbvmz,3.0,34.0,Tqmvvudykpmkabchkquarv,3583334.0,kiitlvhpjuhitkwbjatildsqusyodrseavvuzcqvdzqbpytadmjcdukuiifrqpdwmyblqxotwludyj,M,Akghp,Tqm9067,7.0,711.0,U,467353.0
Yellow Knife,United States of America,2.0,,G,1-226-949-1287,PHZDLCWOZJUSSQCMFKVRQMGALEJ,New Brunswick,Baldor Electric,Bjpsxpfdofobcmnvbhpxpdvaciipcwksausdrgawlmocnnggqnwbazltn,2.0,2.0,FNTOATF,3171605.0,Khycsiczst,M,TDNNF,FNT9068,1.0,821.0,O,
Augusta,United States of America,1.0,,o,1-287-294-5503,Lwxzavrmguykbabntjdlmlbw,AZ,Buildings Materials Corp.,bocmqczxexqgnyfvtkxfjhfzekqwdozkknmcqpu,1.0,95.0,zlzcpjqizsyvnxxuq,,wmstaiaexgpbpcfpaecgrvqncpbrljbvclshhtifvjgzgcueuicedvgpwozkgyxmgetmshf,M,tkucc,zlz9069,0.0,483.0,O,102847.0
Memphis,United States of America,1.0,f,m,1-066-757-8383,Xogirrp,British Columbia,Masco,Rejgxpteligqvjgupchskyyfuhligyledgkawxproaazamnenocwzkjzq,4.0,92.0,Gjnsxzckidfxjtozbdpyxbokrivoza,2454614.0,Fmpjnemjiabsgragmx,W,qshfzhnjjhk,Gjn9070,2.0,684.0,O,155136.0
Dayton,United States of America,3.0,,,1-868-197-7645,bssehwfbuo,Ontario,Symantec,uiajmbdkcpxdhibweamvaxllbwqkkhhcsudcnhigomodjzmqu,3.0,3.0,Exidclf,2814752.0,Tlyspwsdppqglioujajlcjguytnlbnngqwlnuptmnjjpdubvwnhzjfbkcvyhshhhi,S,Fjbfnkwyk,Exi9071,9.0,801.0,U,350615.0
Winnipeg,United States of America,0.0,F,t,1-572-501-3425,WGTLIEHVIIFHMQEXCQVNJBWFNOLBE,CA,Dana Holding,MPZDHVHKNGJHULHWBNHDMNGZIXWAKCPDCWRKKDGAAKRCRKYCNB,2.0,76.0,Kfhtjeqjfivug,2386722.0,Ksndaaiiio,U,ERSAO,Kfh9072,4.0,741.0,O,256564.0
St. Johns,United States of America,4.0,M,,1-919-835-6946,Wibnewirprgqplygwqgowuxajg,NH,,zgbaboajaunynlfjtnwounbbwqfczlnxsmslinusroermsshbivk,5.0,62.0,FHMXADMNCPVFUKVAGZDSYHQAK,1764876.0,Tkaswbaiudljzppltrssxgvmhmjxscdktcvjqohwkuovhimaqmwxnula,M,Ivfizpm,FHM9073,7.0,744.0,,393221.0
Victoria,United States of America,3.0,,D,1-473-992-1561,jztxzhbhwh,Nova Scotia,,LNNJGSWTPANUQUXFEUX,1.0,4.0,FCYYK,2615328.0,RRQLHCGQJXLWJECKIUQFSBOHMMXLKPPPV,D,Ufbkukftvbg,FCY9074,4.0,310.0,O,257831.0
Irving,Canada,3.0,f,g,1-851-333-6758,Khlblcvifgpfjocdabgqbbptcilual,ID,EOG Resources,Agjydlnrsgpraiwwpdwcwlakrz,5.0,49.0,naxegynlemsoxkilrcdghojfpa,3391580.0,DRYAYQVMNNTXAWIYWEANBJNNXCVJGNHDDTOAQKZYUPTXAIGUIIUNUPMVZCTBUCGCNOIJJWUTP,S,stkvmgxqusk,nax9075,7.0,590.0,O,214159.0
Billings,United States of America,5.0,,,1-640-867-5083,Lmsbafghjfoiuhaasevqnltmxmixbq,VA,Retail Ventures,Ficekkddwuqxoalfofepcqdttcvaomdktsdgwateufqdofwnnpaxxibkpdxnvrsgbuyypmuyylhserp,5.0,,Awgnttkataf,3027394.0,Mldpwfvzyesfmvzlrtustgfrsacqmxllobcqtqskmwbkkuvszmynijqkjeeqvriaiyeiasthbpyy,W,Pprndbitt,Awg9076,,446.0,O,306852.0
New Orleans,United States of America,0.0,M,,1-110-646-7688,SIZLAOGEQVQIRKQSNPVQI,AR,Hewlett-Packard,Gvnmynvkieygtchutlvhbpmelymkbfiepxbuledungtbidm,5.0,52.0,BUAZKV,2720766.0,Ncytheonautnhlpozdsyxwruyrdsxvknzcjhitxsxkvzkcbjfcon,U,GPIFAENAKL,BUA9077,1.0,461.0,O,65222.0
Biloxi,United States of America,0.0,M,,1-349-628-0712,wnuluragnlrvdqsjhumio,British Columbia,Level 3 Communications,slqtqtdbnsaibzwblwxjvphkbbqzshvjqcvurhotvtmtqbxnvafauyuzdysmyctucwnixc,2.0,33.0,ZHQQMIBJISNPUM,2614673.0,fcoousrjwnjqwvyjjsmuhjesjf,S,smizh,ZHQ9078,10.0,742.0,O,
Mesa,United States of America,2.0,m,I,1-756-238-8923,uqmlinoijwznbzihcoilm,RI,Arch Coal,Npfmmehaalytpxtczhxbjsbjurnhfanramubmghwqiqphudcvq,4.0,69.0,Gchvoheqfnfpb,1851946.0,XKKPWPSUYXQXFHCVFDLTKEDELVGABDVSNHJXBGWCUWXIGZBSJTNHFYCJRVCQ,M,Lzibpsbu,Gch9079,0.0,798.0,,82665.0
Peoria,United States of America,1.0,,,1-086-992-9966,LFXMEBPJGZAPMNHLFENYTFQNHTYTKN,AR,NSTAR,wfatskvdrcwhssauiqpnotcpm,5.0,76.0,Zexevlyofqqjmu,2434597.0,Uelgjakkjjuhgwawsilpglqhdmehmfzqfdadsgcopheuezvpgbbxszi,M,,Zex9080,1.0,371.0,O,408469.0
Colorado Springs,United States of America,1.0,,H,1-477-506-8567,Jgfztkwqjfaflhex,AR,Walt Disney,jgzdrijudfjlvrsdvoiliiriotxuoomopnqgyhmnsefjvucjjhcqfcnvqydqsvfnqonsdgfmkuvzpk,5.0,4.0,moipenuhzeqajfpssljvsngxbbcie,728389.0,,M,Uqubzzf,moi9081,6.0,475.0,O,
Billings,United States of America,5.0,,B,1-316-309-6226,Iqjtl,MD,Merrill Lynch,VVUSJEGVSOHUBFLMIUTIBIIFJCAXFPXZWDHVMODHGHPJJRVTOTQFKZTFRGNQIRVYIYMO,3.0,69.0,noczhzumtsm,3255082.0,Tlaohvntaehfizoekoeugaqhmspofhwdxypuxkokglakxrrsfogbhmx,W,Omxdvols,noc9082,5.0,,O,253501.0
Saskatoon,United States of America,4.0,,,1-634-474-3568,Tdmipllmcmvcinshjkc,MT,Nationwide,rihronmqcafhjvevhuwgdfaruokcsscngckltpwxgfslpy,,68.0,Evpacpro,2071646.0,pleermrmaldtjxtbpuezkxeumalejldudooanbetmnxxhelozlvnovqnatgd,,Ipleuoqo,Evp9083,2.0,370.0,O,129484.0
Peoria,United States of America,2.0,m,O,1-085-164-1972,xqjpart,Prince Edward Island,LKQ,wrsvtlfivjsliwylehxrxgwwuphjhutguexpvzxetzcqpsngssjouucawv,3.0,43.0,Noqixybv,2966387.0,,U,Tkpxk,Noq9084,4.0,599.0,O,
Oxnard,United States of America,1.0,,d,1-892-816-7266,Anqmslrnbkqp,MI,Intuit,,5.0,24.0,Cpcfq,3849332.0,Zvwmjvlajqsmtngsgrhttlbacdrzhsxcloneqxlqfasaeayuckavpijemgtlfhpvnljvcjuich,S,Lcrfpouordka,Cpc9085,9.0,359.0,O,
Los Angeles,United States of America,5.0,f,,,Bwijcvmaelrtl,WA,Mueller Water Products,hherbaogbhyeqrrrfovigzfqqwovgar,5.0,76.0,bsxngx,2584817.0,aodpsbl,M,Hcmlfnegomg,bsx9086,9.0,482.0,O,183286.0
Baltimore,United States of America,1.0,f,c,1-601-434-0469,Blqxhfsml,Saskatchewan,Fred's,ZEGQHPRSEDUNJPLUJGISLIMRBXIKKJQ,4.0,57.0,KBRXRSSNOGPBJDWYFCJGQEHVT,1141717.0,iabsflhfmnpigkehinoditnhsbg,M,fxmpsasfu,KBR9087,5.0,431.0,O,307679.0
Anchorage,United States of America,0.0,f,I,1-857-345-8085,Jftrvjrdwnsdltawtbsjwlfo,AR,Pfizer,TMYNBLJB,5.0,17.0,Orimmuqaopk,,,M,Zhizpkmypl,Ori9088,0.0,823.0,R,324935.0
Missoula,United States of America,0.0,F,,1-699-092-2187,wfhpryujgpkuucpocitsgk,UT,First Horizon National Corp.,Cbyofroeiziysvfrkyvpoijxxwjguegxkmjjench,5.0,72.0,Yephoxaqysvklaapfom,1685550.0,iuvjdqtcvefhopibzud,U,vurpvjphkwsc,Yep9089,0.0,424.0,O,103312.0
Laredo,Canada,0.0,,U,1-835-922-7917,pvdpruapyzovbdwkemobnddzs,New Brunswick,Albemarle,Mabnt,2.0,98.0,Zbahlgqcsmiixxlrknisapew,722484.0,fflycezktlhdqkotcgldggpvmncemfcbbjxcvrgoryazzogbcilekqlalugyvrmcefupfyt,M,,Zba9090,10.0,439.0,O,289915.0
Waco,United States of America,0.0,,,1-063-730-2652,Kgnhfxkgnxef,MT,Corning,Jtzikqjhfuuccwxxeqhebrglyzaylzvtwtesofxtdwpititmslhghwiakreavppofloukatqmkqodt,3.0,11.0,Kgljgapdv,1758014.0,fsrccwhgssmlzvbwpizeranpgzmxt,U,bhrtipm,Kgl9091,8.0,634.0,O,31237.0
New York,United States of America,5.0,F,,1-766-865-6032,Skywhphpxuqqfqyxzugcyfdp,MS,Wells Fargo,zktedglnuuiksbowtluuprccqmnpxxdahlt,3.0,13.0,wgevsrufkzlppfeixszm,,YVMEFAXBRRCKTJEJRDCAD,,UVLLLDKKZD,wge9092,3.0,308.0,O,468473.0
Seattle,Canada,3.0,,v,1-932-118-6007,HPQIJBAHTSFYZMC,CA,HCA,ESYDWPIVHEBMTKARWWRRUQDRTWPTIGBNUXHSMKKQBCKGWXMVGSXFRZDSAUQKGSTI,2.0,2.0,iqmiwiqd,3804205.0,Vcherzssaxyoawbjrtymiwqqkycppdvdnpgiwzt,S,fcudpfssq,iqm9093,10.0,426.0,U,341264.0
Sacramento,United States of America,3.0,,,1-337-427-0265,lfdmeogewcfhdfagtvdfrgliboumtc,NY,Norfolk Southern,Mjqhkhtiuhczofkekxqdbwofxgcgwhybweanutkbeccnbelpodwreojvr,0.0,97.0,TMPTKOHSTUXSYJDPWVICX,309089.0,Glwgutidbkmtvkxsavhgqjlavfitpobnsoelmcvvbfihbfrjgotbfqpgefurtedgbefypfxcvmhzl,S,gzzayzgdusnw,TMP9094,9.0,580.0,O,461893.0
Omaha,Canada,4.0,M,a,1-598-611-9957,ISNZJSJBXAFZRYKSLS,KY,Sun Microsystems,Oeiaqrphikmrejucprhqnlyosdmispwdawmkeakljulnfnzorkyshhmxditonddfmwnkfkexairwbhfm,5.0,45.0,Gznlsylokofbhnxzgqxlcxvequf,2521415.0,Llzvfixu,D,XSHNBKODXGA,Gzn9095,5.0,835.0,O,134034.0
Louisville,United States of America,1.0,,S,1-974-176-6655,Fnjyvddhqlabivimojtuecefjep,AR,Service Enterprise Group,JALMWRYGGEIWDDNTJNFCNYYEXOADZRWTO,4.0,20.0,ERTRTR,2990483.0,Lugazqx,S,fdgxtrhffehn,ERT9096,2.0,544.0,R,469123.0
Newport News,Canada,4.0,m,z,1-564-317-9383,Lqovlximeaxngo,OR,Synovus Financial Corp.,Rhpwlsjxpzlva,5.0,23.0,SHGPDQLSVOOSDOKYCMOMWZT,1771252.0,,,Qmlhgchfsjvm,SHG9097,2.0,831.0,O,202723.0
Fort Smith,Canada,5.0,m,,1-533-578-2664,DAXCSXFOHSHJJKLDOQFNHCHW,UT,Mettler-Toledo International,quvhebrppdiwlmmqensqtkhajijyvssuwzovnowdhgouhnckdxxkdvraagy,3.0,36.0,Nquoprvml,3812366.0,Lxfffomuh,M,YWHYKXIURTL,Nqu9098,6.0,798.0,O,191739.0
Simi Valley,United States of America,0.0,,,1-411-100-5024,Xnrbsn,VA,Georgia Gulf,PNQOOBKVNIROHDICGAHNGUIXCJKCXOOPBDNIWEWMMIRBUWDNDQVWTDWOYQRZSQRWPXFGODEWYFXTT,3.0,23.0,Pumoipjhyimgnrctmxaunjuy,818691.0,qkcyvgrdflfcehaszeqxddiaxztqqxbgzipexflbhcrdhwtswcamlj,D,Gljial,Pum9099,7.0,836.0,O,80711.0
Fullerton,,2.0,M,i,1-807-302-9893,Xpnnbrxwsahlitqhzjwypepaomewmg,WI,ENSCO International,wohegnazmqmmkjxmyzznftmrhduhqooufxtbgtjssfwkoelnnflicudiicjanmxizmqimpptdk,3.0,27.0,PVYFDMNVWQPHAGJFJZSFZR,2235319.0,tfihwggfxaoizpgiqwnygnfemhdlgoa,U,Fwjsmj,PVY9100,1.0,845.0,O,440870.0
Grand Rapids,United States of America,3.0,,,1-981-939-4235,enaidtrx,WI,,Hwctltbqtrfnjevjouciomwibbgibdmnnobnplqpnccnvqlwcqwpnrbxemonjerc,5.0,10.0,tafpefxpkni,3462325.0,Nxiqdeyaeuflwatdajptezlrpmdsrgnrfncwoaezbvxrbjdmwbjowvumivsmyf,M,Exnesddtui,taf9101,7.0,652.0,O,342420.0
Chicago,United States of America,1.0,,s,,Ownso,Quebec,Charming Shoppes,IYJIRBFKXYAFTYFCSVRAMOUCFXWLLSEOMF,5.0,83.0,URAMWHKBFVHPGGJRSTKUL,1902291.0,hhfymwsxwesqvdrbfnjzuowwsiphjtiyfezkmacuqcgylinrvnwndmtayiomp,S,HNGVXJPO,URA9102,5.0,530.0,R,128907.0
Atlanta,United States of America,1.0,,,1-210-936-0218,hcdthvqiw,MS,Autoliv,DFMTOQDBMIRYKUXXWXPFAYTNALBLHJJIJEZQANMDSXVO,4.0,31.0,Dinkdert,2482447.0,Vqmcrlqfbrojrbdyqclclkghtdfrpestdrpa,D,Vwjocegn,Din9103,6.0,786.0,O,126396.0
Dallas,United States of America,4.0,,,1-985-699-0571,oggymnqkfetoghplkfikwzz,DC,Iasis Healthcare,,,50.0,OSIZEIXFNPPE,1045375.0,Ncjpfdgqsfbnhtavwgkljsbgwtmmkdoyxabjtmqagousilroayffaliotp,M,Oiqerf,OSI9104,10.0,735.0,R,121198.0
Fairbanks,United States of America,2.0,,I,1-484-022-8418,Abswhtsiajxijmcrooyaehkskhu,MO,St. Jude Medical,Emiggilehepwutlbkbhojprndfoqrpedadvdshjhsjsffq,3.0,52.0,Wentmcwtnjfecluqavqcvvoxynqb,3945300.0,fzazbuvmpn,S,Hnpkr,Wen9105,10.0,766.0,O,304907.0
Topeka,,4.0,m,C,1-943-121-0295,Bnueekcwzlmalk,OH,United Technologies,skxwnedapnwqmaiewmqq,2.0,52.0,rdyjhxtnngplocxe,,UJSLMMWNHQKBWLGNPSUHGURWYFALKEBZRMWVOLVIH,U,Cpcboi,rdy9106,9.0,789.0,R,301765.0
Grand Prairie,United States of America,5.0,,D,,emvvjecxzuy,MO,Barnes & Noble,jyhwasavyscqkzfmj,1.0,,HOTCUOQGXKUYFTJEEHHCOXICMN,3608340.0,Engxbuwxxyzisuyssrcjxwabqbndgsrkufddpwqwtbgkfnxbgqdblzyirkavkaoewpfglikn,S,Douqcbdvxdt,HOT9107,5.0,446.0,R,155012.0
Garden Grove,United States of America,3.0,,P,1-593-939-4938,dhrdehfgknclnip,NV,Amazon.com,Njqzdutxukbsqqlrtafxtdhyayioocbdxeloxswzyghccjre,4.0,95.0,ZBSVVTUSSIWEGXLQDYLDWEMXCLKY,986216.0,Vhqcihxwzgbsgmtztxnphrormficyllmztzaaleiaikobyaividkofnnkievjly,M,DQYKEGLRHQF,ZBS9108,1.0,402.0,O,75695.0
Anaheim,United States of America,1.0,,,1-189-115-0925,Rmhdxa,NH,Dynegy,,0.0,81.0,yhpctdjzemcg,614649.0,Drdravqokzzeknhnvabsqqeorucvzijqhofmbswmegfaaoanxeg,U,GDOKHOIRDV,yhp9109,8.0,779.0,R,34885.0
Shreveport,United States of America,3.0,,B,1-846-543-7633,Kflhefgu,FL,Oneok,Kzhjsfezqglkixqjpsjulhqclgzqpqxrlemeqpdacaunrdynnqctsylffrpsrfqmxog,2.0,62.0,Sxwcaezorxsyawpoqzoenuyu,1581472.0,LJBXYSKHWHKZSBWB,U,Milbgotbhn,Sxw9110,5.0,769.0,R,219414.0
Spokane,Canada,0.0,f,l,1-331-144-3504,Packmtxggiqzmagyqourc,AK,Continental Airlines,Omaosjylsadzseiuacvlmbxwxwwjriheytvvmueiwqskhg,4.0,71.0,Spkhs,1850158.0,KGFAFPJOTGVLOTXOIVRWEIBQAARG,M,INCXPFSYVM,Spk9111,10.0,381.0,O,141819.0
Augusta,United States of America,2.0,m,o,1-896-680-1025,FQCBJJTBZMLNDQMFTCR,ID,Zimmer Holdings,Lxyeiekgmvtrjqudsklcumukmwuffgbancuytmprfqgumztxyldoqlzxsngbpbdptysqxrwy,4.0,35.0,MONZZBEEHWIOY,907663.0,blztuvqekchrfrgqtef,M,Tdqaasvu,MON9112,8.0,397.0,R,316250.0
Santa Clara,United States of America,,M,,1-386-469-7777,LRETDFGFFNESCNJDVIKZOSNX,MT,Alliant Techsystems,Hkwgzbxiwmgdeipvftdvxiexgsxixibyowkrqixfgdbssxfzpfaugvmmqlrnb,3.0,27.0,yvxdhfroubwhxwdvfakuqbysc,2517177.0,PSEHVBYLTFNYFUPOSJNERTMVNJWZRRNUXBSKPTVQUTJWMJKZIXXTQW,U,Adhtdfsnkko,yvx9113,4.0,767.0,R,341688.0
Lansing,United States of America,5.0,f,,1-587-576-8425,Cdpepmqkbjsbhjlkirapohrsam,ID,Continental Airlines,covnazwfibucegwxquelglctdcxleujdakjfdeeek,2.0,92.0,gdeifcmhbenultcftjlkdaf,3398489.0,Kxfgtnuloedlfaueyifxiwespymkhiqxq,U,FDOGI,gde9114,2.0,496.0,O,436350.0
Rochester,United States of America,2.0,f,,1-350-139-6259,ufiepnkwokkafeshkvrhvormfh,MO,Synnex,Bxnzegzkvezbwpwmbtuakkzwuremuogzoq,5.0,88.0,Bhrrpqdafjjseazskelenwx,3174786.0,Pupeoanwqarzudngtjyotxkwxkchclwzpzthgfxxmdwfwmrdlbmizyuzgwpfgmpybewkyyl,M,VIBQEIPQ,Bhr9115,10.0,343.0,O,
Iqaluit,United States of America,5.0,,o,1-037-838-3725,Txcnuxliknasbaip,MI,Alliance One International,qhvgukahxoiamxnbepxxwejpkgujklbnieldxaquzwvggtvstrdiuejfcpavcqq,4.0,91.0,hyunnhin,,Wpdyxoojoujsvudfsahqbgradrxumprlkpmkmtmbsghdbhkzkpjppowkraloc,M,Bmbygpppd,hyu9116,0.0,778.0,R,428591.0
Wilmington,United States of America,5.0,,U,1-074-244-9036,CEEJKWHMASEQLFDRQOCLNFZ,ME,R.H. Donnelley,jntutpwiinwlctpblqpxjpotznhsuqdouclalslns,4.0,,sipgnwaoretjvx,1792924.0,Hgvshefugpowpqirkheahadmywhkg,S,Wqpqglr,sip9117,6.0,782.0,O,189661.0
San Bernardino,United States of America,4.0,,W,1-580-710-9750,TSLVEUKQAILFMFUXHGICVUSRS,MA,Marriott International,EFNIFWYUXFZOQCROONKUTYELUKNFGGRPEOFSSKHMVFWTANDQOBGEJDICXGHMBBTWEXXTSAAVMCSKM,2.0,30.0,Nacvhgvfqshmggvdmqpiowaart,3105163.0,YHBUZVWGKCCV,M,Huuenrczvuev,Nac9118,8.0,611.0,R,177846.0
Gary,United States of America,,m,,1-052-410-2246,OTRNWJCANNNU,British Columbia,New York Life Insurance,IBNKRANTCSFEKUVIXHPQRCASXQQGGDBJXFY,4.0,82.0,ftiouerkejtowokgpa,182914.0,zmpzaujbcwauouxchwdqomkotnxycrrdkkvsxupgplezejqwcada,W,ezesyqol,fti9119,10.0,407.0,R,334776.0
Little Rock,United States of America,1.0,,k,1-165-695-8008,QDXIZUMRQWBQXINVTMALWMJ,AL,Boise Cascade Holdings,,4.0,5.0,MABTQVWRMOITFMRVMYQEQSCY,51606.0,Bweuicruga,U,Oeamx,MAB9120,2.0,514.0,O,89581.0
Vancouver,United States of America,1.0,M,,1-299-163-1904,ZBGLHGZC,MS,Fidelity National Financial,Gslydrjqcauyxbcnwuygwprorsywogvnyw,4.0,60.0,Pvkcqwgetlnbzkv,3297862.0,Mwdhmpmnueqhxdjdcjxtvbtemkgkjqaqbcxjztcaleimvfvyirefzihxpjhmtikgd,M,OEYONMFHZD,Pvk9121,2.0,364.0,O,115701.0
Houston,United States of America,2.0,,t,1-003-987-7376,Gilorkrwvmeyisutovufekuxok,Ontario,Landstar System,PSFLQIKMXDOBYXRXMNW,0.0,13.0,lhmdjqnzjppqihfokbcdytxmexxixi,3435890.0,UBGBPEMJZWCYBZCRXIEZPXHQIBDFJHKFUFZPHEMMFV,M,pbnitlz,lhm9122,7.0,779.0,O,296025.0
Boise,United States of America,3.0,,,1-651-090-0332,jnnccujoktkjkgnackeijldexbv,DE,Allergan,Fruldljiwktqbkspdtarhgfrlwufrmsabonrlep,3.0,15.0,Zknpaskbya,2405091.0,OYTPLICZDJTLFGFGNJVMWWBXLDIHYXG,W,KMSYHWO,Zkn9123,3.0,634.0,O,468444.0
Concord,United States of America,0.0,,,1-776-474-6726,PJWOMDDVESQVMNDMMEX,AL,RPM International,JCZMEAMEURFCPWVETHPBONSHKQIXLEJMLXFIF,3.0,23.0,FLZEXFCORIKKECBAIPLNRLPHEUNBZA,2076686.0,Oijewhydllupezheazimnlzbrkmclhwpsdhaienvqosfwzzdaqkbokgohincnbibkyxusnauitosnqjz,M,UFRAGOEIZWH,FLZ9124,9.0,828.0,O,127755.0
Fairbanks,United States of America,,,H,1-643-874-9874,Rcyevyzlquhrlnwpz,FL,Union Pacific,ZHCQLAHQCSSIHUYNGKXDCZP,0.0,23.0,ntltvxclposcwmy,2825373.0,Xtjbgxkwkwxjfmdmgzpyrnunyrlrucxbbvogfizuzttsbilffit,M,Boexlonc,ntl9125,8.0,644.0,U,50878.0
Hayward,United States of America,0.0,f,,1-300-243-4901,Uutfuqqvasodcnmdzdbfksvwjygc,ID,Cummins,GEYRCAQSZXIYIZZQRKROPUVPSHLYXMAAMZAFKUWPTSQJPXSMC,3.0,88.0,HOQVWZZXGEQRAQNRQTPQX,2472579.0,Nuboupvcklo,M,SBKDQS,HOQ9126,4.0,697.0,R,488433.0
Warren,United States of America,4.0,,,1-656-409-6568,Rtbqkpmcwkcjgk,GA,Genzyme,Oqlojhfakiqscrxssswiafcwhderecqvenz,1.0,85.0,bgoznbrwtq,935480.0,Tlloopteuuqkclokjdcqzalocjdmrjzigjnknoqvplcxqdtrssneedsen,S,Wbgekovb,bgo9127,4.0,732.0,O,338586.0
Billings,United States of America,2.0,,,1-938-034-1141,Qopnjh,GA,Air Products & Chemicals,RGLWCWAYRVCRNEOQKYHHQCOOJWQWMYFGSNFMNNHAWDYHZBRR,2.0,42.0,Bkpxpxmj,2760694.0,Ccmfvhbtxloyovn,M,Dxxewosinb,Bkp9128,1.0,302.0,O,360218.0
Baltimore,United States of America,3.0,,,1-477-584-7138,IDWUTFZRJEIHSTGUNVAUDNOZYID,AR,Icahn Enterprises,YWMZSJRRNBSLUAVULWPVODITJZDYALHEGDJGOBUQ,4.0,56.0,Fqrfcmyuieowoavd,2227555.0,OQAMMDQODNJELDQATWELLYBCI,M,qplusmxe,Fqr9129,1.0,384.0,O,472679.0
Boston,United States of America,1.0,m,R,1-368-949-1321,Fndgalahtgtixcqb,AK,Alliant Energy,duwdsovyvmjvrjnaarjmzrnmabdavxjphfxcasmxwnucpwwueednzqgd,5.0,5.0,CAZLE,1330067.0,WDLGPCHFCKHQDZHAFAHPMFMEARPWZMXNUNZNMTTBICBMZHOMSABQPACQPYHKMYFNZBFLSGKCEHWSDIJ,M,Iikewgswfvq,CAZ9130,8.0,540.0,U,466643.0
Grand Rapids,United States of America,2.0,F,,1-136-051-7783,SHKWJDENUBJAEQNADUBQSURH,MN,Adobe Systems,HDTSHOOHGFTUMMZG,2.0,33.0,Gxowjmarxp,3295131.0,lyfhfichfhcmeimxoozhvjxeigcngbwyiimgfdkpjdpsppjknjusyprbqrjunzd,M,ooztz,Gxo9131,10.0,828.0,O,387050.0
Fort Wayne,United States of America,5.0,,,1-132-423-8891,LZDBLHMT,WY,Jacobs Engineering Group,Dearsvwceomxfffmfrlhapcnfpmfnvxslwdittwuybdvcmezlqxrgrycwqmnxgg,1.0,96.0,Heiqlcvnstio,2397595.0,LQQYLFEVMVTPPCNSQHRVTEDMBGPPMLOJNVUSQCSUGQUZUKXPNVPGIVSHONLHLJI,S,Wsxcreudxgf,Hei9132,1.0,,R,39920.0
Scottsdale,United States of America,3.0,,K,1-936-035-3511,bftytsfafkkfnwtoqehjmmep,NY,TECO Energy,XZNLYJRSSTSKTZRGZFNPJLAZCYMLFTIABSQIIKHFZMLINLNEHXAXSYJOAQMUUMF,5.0,70.0,Nmqswazmbgsnj,2841745.0,jfahnwnetbmahejiovofzruasqrjbwvmyjuxomdybpdcukkgmdvr,,UZYQXMFJB,Nmq9133,3.0,438.0,R,79200.0
Norfolk,United States of America,4.0,,W,1-513-589-7802,VUUISEIULQWRSMNXEYQQFVSPDUFOY,Newfoundland,Covance,Ymkbuzoupvavtdfvqxkowhxkhaqrqhsgmqbgsuexnrsvuwnpcrtipdrhpvvgtlfls,1.0,27.0,BZNRJTRCAJPTVOOMINEJCK,218925.0,YVVFXXGCKWYAXORDXCHXVETAFKGF,S,GDDABAKSBFDH,BZN9134,,838.0,O,232816.0
Rochester,United States of America,4.0,v,,1-671-382-4399,Npjvedanpwk,ID,Monsanto,Gzxbeiopaadmsmpowpwfzscrbeomj,1.0,35.0,YECYQOIMJPVANRRHHTHCMX,757762.0,BCGNYQZODRPLEVFCKCOPQVBMQUBBUXKPJJRDZXJWEKJRYHUDPOEW,M,Sllkkxamr,YEC9135,1.0,700.0,O,148209.0
Jacksonville,United States of America,5.0,M,z,1-236-011-8731,Bvbtcckfodtpgnu,MN,Furniture Brands International,Apcnzqg,1.0,73.0,WORCQWNJH,629235.0,VAFTDQAPQPGMZHOUOFWSRENMPONXORYUCYUHP,U,Unkfvo,WOR9136,7.0,845.0,O,287039.0
Alexandria,United States of America,4.0,,,1-401-758-4664,Lgnroxmifsbgcsptnjydohq,GA,FreeportMcMoRan Copper & Gold,Lvpmtfopkionusvhksockyxoegoyogjfuzawk,5.0,58.0,peyuuknmikvd,3970079.0,SDBLCHGRTUDZYEEKWBCOAHYDFBLDEUAORGLNQJDVEJSTJULHLKU,M,OEZSUIMW,pey9137,2.0,603.0,O,
Des Moines,United States of America,1.0,m,,1-905-480-8192,Xflrdmqfgmcjfdgqqtpxnsgfd,CO,MGIC Investment,Aeeephcaptskgwivtxckjcsdn,0.0,13.0,Exrzdjpmevxwigni,173107.0,Bvjnikxukwnbcnwtwjx,M,Xebvqsw,Exr9138,1.0,827.0,O,481914.0
Dayton,United States of America,2.0,,,,THHWGEAJOOMADDBQTBFGGIZU,AR,BE Aerospace,Arxrxqciswhyucr,1.0,13.0,fjaqitctxxdeelnskwwarhchm,2117757.0,aahatlknaobbg,U,Pdjkax,fja9139,4.0,801.0,O,298652.0
Oklahoma City,,0.0,,,1-824-020-1502,ZXBFUNBVOWJUZPAIHXWXOURHC,MD,Newfield Exploration,bnaejdppinskkdhcarayohtzqgahukpwlxkclwemvsajpzlojah,1.0,41.0,Oqsotvlchl,986564.0,eilgskdbtzzlyvaaltfxbjtxsjlfxgviqimjlvpnmvfhacnb,S,Dyogksic,Oqs9140,4.0,774.0,O,288140.0
